path	top_level	audit_unit	status	evidence_refs	cross_refs	notes
.github/PULL_REQUEST_TEMPLATE.md	.github	.github/PULL_REQUEST_TEMPLATE.md	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.github/RELEASE_NOTES_TEMPLATE.md	.github	.github/RELEASE_NOTES_TEMPLATE.md	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.github/dependabot.yml	.github	.github/dependabot.yml	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.github/workflows/api-docs.yml	.github	.github/workflows	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.github/workflows/ci.yml	.github	.github/workflows	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.github/workflows/k6-weekly.yml	.github	.github/workflows	done	EV-0003,EV-0004		reviewed in 2026-05-02 cold audit
.gitignore	(root)	.gitignore	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
.gitleaks.toml	(root)	.gitleaks.toml	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
.golangci.yml	(root)	.golangci.yml	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
.spectral.yaml	(root)	.spectral.yaml	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
AGENTS.md	(root)	AGENTS.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
CHANGELOG.md	(root)	CHANGELOG.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
CLAUDE.md	(root)	CLAUDE.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
CODEOWNERS	(root)	CODEOWNERS	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
CODE_OF_CONDUCT.md	(root)	CODE_OF_CONDUCT.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
CONTRIBUTING.md	(root)	CONTRIBUTING.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
LICENSE	(root)	LICENSE	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
Makefile	(root)	Makefile	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
README.md	(root)	README.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
SECURITY.md	(root)	SECURITY.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
VERSIONS.md	(root)	VERSIONS.md	done	EV-0001,EV-0003		reviewed in 2026-05-02 cold audit
cmd/ratesengine-aggregator/main.go	cmd	cmd/ratesengine-aggregator	done	EV-0002,EV-0006		reviewed in 2026-05-02 cold audit
